"Year","Month","tide.level.mm","tide.level.interp","anomalies","anomalies13","anomaliesb","anomalies13b"
1951,6,570,570,-3.80646441640772,14.3494994308539,-3.19542860966249,15.3657550186859
1951,7,561,561,3.68156263837375,1.93819854353626,4.29259844511921,2.10117096175973
1951,8,460,460,-75.3458564392313,-1.72131420857021,-74.7348206324862,-2.00640517886821
1951,9,555,555,26.7737133194925,-2.55383013132796,27.3847491262372,-3.28698449014753
1951,10,613,613,14.1808145648167,-6.2099775572195,14.7918503715621,-7.39119530456066
1951,11,689,689,8.08653863480686,-12.9220373995984,8.69757444155175,-14.5513185354611
1951,12,664,664,-41.0336047278189,-17.1977043962381,-40.422568921073,-19.2750489206224
1952,1,631,631,-56.6175462538614,-21.4496230850309,-61.8313344978973,-23.9750309979366
1952,2,683,683,10.5717579778412,-21.5873453224687,5.3579697338065,-24.560816623896
1952,3,634,634,-17.4879790089226,-17.1752991878812,-22.7017672529578,-20.5968338778302
1952,4,616,616,-2.25492553642584,-21.8180583235553,-7.46871378046137,-25.6876564020257
1952,5,488,488,-69.7487334782645,-22.4224618573319,-74.9625217222999,-26.7401233243239
1952,6,555,555,-20.5694344254946,-17.6442398090021,-25.7832226695294,-22.4099646645156
1952,7,500,500,-59.081407370713,-10.7478483886274,-64.2951956147479,-16.4343249879826
1952,8,539,539,1.89117355168207,-6.63813037150315,-3.32261469235311,-12.7972953261782
1952,9,512,512,-17.9892566895943,-9.39372321733781,-23.2030449336297,-16.0255765273329
1952,10,567,567,-33.58215544427,-11.2037167970755,-38.7959436883049,-18.3082584623906
1952,11,689,689,6.3235686257201,-17.531161254839,1.1097803816848,-25.108391275474
1952,12,777,777,70.2034252630943,-14.8068282514788,64.98963701906,-22.8567466274337
1953,1,738,738,48.6194837370517,-7.36643924796378,37.2607468738563,-15.8890459792387
1953,2,671,671,-3.19121203124553,-0.888776870016998,-14.5499488944399,-9.88407195661192
1953,3,628,628,-25.2509490180094,-3.93826919696802,-36.6096858812043,-13.4062526388829
1953,4,579,579,-41.0178955455126,-1.27333602494975,-52.3766324087078,-11.2140078221846
1953,5,475,475,-84.5117034873514,0.276106595119727,-95.8704403505465,-10.1372535574351
1953,6,543,543,-34.3324044345813,1.05432864344953,-45.6911412977759,-9.8317198644252
1953,7,637,637,76.1556226202001,-4.51081839771427,64.7968857570056,-16.3464756948087
1953,8,564,564,25.1282035425952,-5.86263884212844,13.7694666794005,-18.1752165731225
1953,9,494,494,-37.7522266986812,-2.54130861104003,-49.1109635618761,-15.3308067759337
1953,10,619,619,16.6548745466431,-2.50514834462388,5.29613768344871,-15.7715669434173
1953,11,671,671,-13.4394013833668,1.32125335145877,-24.7981382465616,-12.4220856812343
1953,12,725,725,16.4404552540075,9.19943250866517,5.08171839081342,-5.02082695792746
1954,1,689,689,-2.14348627203503,15.485975358334,-19.7021887759259,0.788795457841712
1954,2,707,707,31.0458179596676,13.9636377362808,13.4871154557778,-1.21046259811117
1954,3,695,695,39.9860809729038,11.9910684862529,22.4273784690134,-3.65995228203877
1954,4,597,597,-24.7808655545994,20.502155504425,-42.33956805849,4.37421430223374
1954,5,570,570,8.72532650356186,20.8208288937252,-8.83337600032871,4.21596725763431
1954,6,597,597,17.9046255563318,25.8298201728243,0.34592305244189,8.74803810283376
1954,7,610,610,47.3926526111134,30.803134670122,29.8339501072234,12.7846775587172
1954,8,597,597,56.3652335335084,37.6820834564771,38.8065310296182,19.2038717375578
1954,9,533,533,-0.515196707767927,37.3111059952578,-18.0738992116584,18.373139668824
