time,latitude,longitude,uwnd,vwnd,nobs
UTC,degrees_north,degrees_east,m s-1,m s-1,count
2010-07-28T00:00:00Z,7.375,71.125,7.690899,-0.3875969,0.0
2010-07-28T00:00:00Z,7.375,71.375,7.199536,-0.84844047,1.0
2010-07-28T00:00:00Z,7.375,71.625,6.6959653,-1.3062321,0.0
2010-07-28T00:00:00Z,7.375,71.875,6.1740828,-1.7609718,0.0
2010-07-28T00:00:00Z,7.375,72.125,5.966551,-1.9349326,0.0
2010-07-28T00:00:00Z,7.625,68.125,8.374535,1.7548678,1.0
2010-07-28T00:00:00Z,7.625,68.375,8.496613,1.7029848,1.0
2010-07-28T00:00:00Z,7.625,68.625,8.579015,1.6358421,1.0
2010-07-28T00:00:00Z,7.625,68.875,8.603431,1.5503876,1.0
2010-07-28T00:00:00Z,7.625,69.125,8.582067,1.4069462,1.0
2010-07-28T00:00:00Z,7.625,69.375,8.517976,1.2207776,0.0
2010-07-28T00:00:00Z,7.625,69.625,8.453885,1.040713,0.0
2010-07-28T00:00:00Z,7.625,69.875,8.395898,0.8575963,0.0
2010-07-28T00:00:00Z,7.625,70.125,8.286028,0.61344075,0.0
2010-07-28T00:00:00Z,7.625,70.375,8.118172,0.30824634,0.0
2010-07-28T00:00:00Z,7.625,70.625,7.9503145,0.003051944,0.0
2010-07-28T00:00:00Z,7.625,70.875,7.7885613,-0.2990905,0.0
2010-07-28T00:00:00Z,7.625,71.125,7.489471,-0.6500641,1.0
2010-07-28T00:00:00Z,7.625,71.375,7.0499907,-1.0468168,1.0
2010-07-28T00:00:00Z,7.625,71.625,6.5983033,-1.4466215,0.0
2010-07-28T00:00:00Z,7.625,71.875,6.1344075,-1.855582,0.0
2010-07-28T00:00:00Z,7.625,72.125,6.067265,-1.9227247,0.0
2010-07-28T00:00:00Z,7.875,68.125,8.286028,1.6663615,1.0
2010-07-28T00:00:00Z,7.875,68.375,8.463041,1.6633096,1.0
2010-07-28T00:00:00Z,7.875,68.625,8.591223,1.6358421,1.0
2010-07-28T00:00:00Z,7.875,68.875,8.670573,1.5870109,1.0
2010-07-28T00:00:00Z,7.875,69.125,8.688885,1.5046084,1.0
2010-07-28T00:00:00Z,7.875,69.375,8.652262,1.3977904,0.0
2010-07-28T00:00:00Z,7.875,69.625,8.609534,1.2909724,0.0
2010-07-28T00:00:00Z,7.875,69.875,8.566807,1.1811024,0.0
2010-07-28T00:00:00Z,7.875,70.125,8.417262,0.89421964,0.0
2010-07-28T00:00:00Z,7.875,70.375,8.151743,0.42727217,0.0
2010-07-28T00:00:00Z,7.875,70.625,7.88012,-0.03662333,1.0
2010-07-28T00:00:00Z,7.875,70.875,7.620704,-0.5035708,1.0
2010-07-28T00:00:00Z,7.875,71.125,7.2971983,-0.9003235,1.0
2010-07-28T00:00:00Z,7.875,71.375,6.915705,-1.2360374,1.0
2010-07-28T00:00:00Z,7.875,71.625,6.5220046,-1.5778551,0.0
2010-07-28T00:00:00Z,7.875,71.875,6.119148,-1.9440883,0.0
2010-07-28T00:00:00Z,7.875,72.125,6.1923947,-1.9044131,0.0
2010-07-28T00:00:00Z,8.125,68.125,8.356223,1.6816212,1.0
2010-07-28T00:00:00Z,8.125,68.375,8.539339,1.6846731,1.0
2010-07-28T00:00:00Z,8.125,68.625,8.673625,1.6602576,1.0
2010-07-28T00:00:00Z,8.125,68.875,8.768235,1.6236342,1.0
2010-07-28T00:00:00Z,8.125,69.125,8.804858,1.5595434,1.0
2010-07-28T00:00:00Z,8.125,69.375,8.783495,1.4771409,0.0
2010-07-28T00:00:00Z,8.125,69.625,8.749924,1.3947384,0.0
2010-07-28T00:00:00Z,8.125,69.875,8.719404,1.309284,0.0
2010-07-28T00:00:00Z,8.125,70.125,8.548495,1.0040896,0.0
2010-07-28T00:00:00Z,8.125,70.375,8.212782,0.47610328,1.0
2010-07-28T00:00:00Z,8.125,70.625,7.861808,-0.05188305,1.0
2010-07-28T00:00:00Z,8.125,70.875,7.529146,-0.57681745,1.0
2010-07-28T00:00:00Z,8.125,71.125,7.2483673,-0.94305074,1.0
2010-07-28T00:00:00Z,8.125,71.375,7.0133677,-1.1658427,1.0
2010-07-28T00:00:00Z,8.125,71.625,6.7570043,-1.4099982,0.0
2010-07-28T00:00:00Z,8.125,71.875,6.497589,-1.6816212,0.0
2010-07-28T00:00:00Z,8.125,72.125,6.6379786,-1.6022706,0.0
2010-07-28T00:00:00Z,8.375,68.125,8.585118,1.800647,1.0
2010-07-28T00:00:00Z,8.375,68.375,8.7407675,1.7731795,1.0
2010-07-28T00:00:00Z,8.375,68.625,8.850637,1.7212964,1.0
2010-07-28T00:00:00Z,8.375,68.875,8.929988,1.6541537,1.0
2010-07-28T00:00:00Z,8.375,69.125,8.954404,1.5686992,1.0
2010-07-28T00:00:00Z,8.375,69.375,8.923884,1.4588293,1.0
2010-07-28T00:00:00Z,8.375,69.625,8.887261,1.3489593,0.0
2010-07-28T00:00:00Z,8.375,69.875,8.859794,1.2390893,0.0
2010-07-28T00:00:00Z,8.375,70.125,8.670573,0.93999875,1.0
2010-07-28T00:00:00Z,8.375,70.375,8.286028,0.44253188,1.0
2010-07-28T00:00:00Z,8.375,70.625,7.8953795,-0.042727217,1.0
2010-07-28T00:00:00Z,8.375,70.875,7.532198,-0.5188305,1.0
2010-07-28T00:00:00Z,8.375,71.125,7.3521333,-0.7812977,1.0
2010-07-28T00:00:00Z,8.375,71.375,7.3368735,-0.84844047,1.0
2010-07-28T00:00:00Z,8.375,71.625,7.2910943,-0.9461027,0.0
2010-07-28T00:00:00Z,8.375,71.875,7.2483673,-1.0681804,0.0
2010-07-28T00:00:00Z,8.375,72.125,7.3887568,-1.0101935,0.0
2010-07-28T00:00:00Z,8.625,68.125,8.804858,1.9044131,1.0
2010-07-28T00:00:00Z,8.625,68.375,8.933041,1.8464261,1.0
2010-07-28T00:00:00Z,8.625,68.625,9.018495,1.7670757,1.0
2010-07-28T00:00:00Z,8.625,68.875,9.08869,1.6785692,1.0
