time,latitude,longitude,p_msl
UTC,degrees_north,degrees_east,hPa
2020-09-28T12:00:00Z,10.5,72.5,1008.3171997070312
2020-09-28T12:00:00Z,11.5,68.5,1008.8671875
2020-09-28T12:00:00Z,11.5,69.5,1008.7171783447266
2020-09-28T12:00:00Z,11.5,70.5,1008.5671844482422
2020-09-28T12:00:00Z,11.5,71.5,1008.4171905517578
2020-09-28T12:00:00Z,11.5,72.5,1008.2421875
2020-09-28T12:00:00Z,12.5,68.5,1008.8421936035156
2020-09-28T12:00:00Z,12.5,69.5,1008.6921691894531
2020-09-28T12:00:00Z,12.5,70.5,1008.5171813964844
2020-09-28T12:00:00Z,12.5,71.5,1008.3671875
2020-09-28T12:00:00Z,12.5,72.5,1008.1671752929688
2020-09-28T12:00:00Z,13.5,68.5,1008.8421936035156
2020-09-28T12:00:00Z,13.5,69.5,1008.6921691894531
2020-09-28T12:00:00Z,13.5,70.5,1008.4921875
2020-09-28T12:00:00Z,13.5,71.5,1008.3171997070312
2020-09-28T12:00:00Z,13.5,72.5,1008.0671844482422
2020-09-28T12:00:00Z,14.5,68.5,1008.7921905517578
2020-09-28T12:00:00Z,14.5,69.5,1008.6421813964844
2020-09-28T12:00:00Z,14.5,70.5,1008.4421844482422
2020-09-28T12:00:00Z,14.5,71.5,1008.2421875
2020-09-28T12:00:00Z,14.5,72.5,1007.9171752929688
2020-09-28T12:00:00Z,15.5,68.5,1008.6921844482422
2020-09-28T12:00:00Z,15.5,69.5,1008.5421905517578
2020-09-28T12:00:00Z,15.5,70.5,1008.3421936035156
2020-09-28T12:00:00Z,15.5,71.5,1008.1171875
2020-09-28T12:00:00Z,15.5,72.5,1007.7421875
2020-09-28T12:00:00Z,16.5,68.5,1008.5671844482422
2020-09-28T12:00:00Z,16.5,69.5,1008.4171905517578
2020-09-28T12:00:00Z,16.5,70.5,1008.2421875
2020-09-28T12:00:00Z,16.5,71.5,1007.9921875
2020-09-28T12:00:00Z,16.5,72.5,1007.5671997070312
2020-09-28T12:00:00Z,17.5,68.5,1008.4421844482422
2020-09-28T12:00:00Z,17.5,69.5,1008.2921905517578
2020-09-28T12:00:00Z,17.5,70.5,1008.1421813964844
2020-09-28T12:00:00Z,17.5,71.5,1007.8921813964844
2020-09-28T12:00:00Z,17.5,72.5,1007.4421844482422
2020-09-28T12:00:00Z,18.5,68.5,1008.3421936035156
2020-09-28T12:00:00Z,18.5,69.5,1008.1671905517578
2020-09-28T12:00:00Z,18.5,70.5,1008.0171966552734
2020-09-28T12:00:00Z,18.5,71.5,1007.7671966552734
2020-09-28T12:00:00Z,18.5,72.5,1007.3421783447266
2020-09-28T12:00:00Z,19.5,68.5,1008.1921997070312
2020-09-28T12:00:00Z,19.5,69.5,1007.9921875
2020-09-28T12:00:00Z,19.5,70.5,1007.8171844482422
2020-09-28T12:00:00Z,19.5,71.5,1007.5671844482422
