"Year","Month","Dates","UPW.1","UPW.2","UPW.3","UPW.4","UPW.5","UPW.6","UPW.7","UPW.8","UPW.9","UPW.10","UPW.11","UPW.12","UPW.13","UPW.14"
"2000","11",2000-11-16 00:00:00,2.53935316589622e-06,2.24371701380167e-06,1.30593186495079e-06,-6.04434748415391e-06,-1.20305585040725e-05,3.60223766693724e-06,3.28082797843261e-06,1.48140879223465e-06,1.95344315988843e-06,-3.6161105303988e-06,1.82562731098169e-06,2.3664978712119e-06,8.4596610872012e-07,2.60334937584521e-06
"2000","12",2000-12-16 12:00:00,-2.08642004159069e-06,-1.78608342972021e-06,3.90585932060477e-06,2.18027152110167e-06,1.18203960397523e-06,2.98230293460381e-06,-3.3991130783587e-07,-3.3937474605047e-06,3.14252093252881e-06,-2.17333498704945e-06,3.15221012227073e-06,2.15546880387184e-06,2.66150986927283e-06,6.87063028659233e-07
"2001","01",2001-01-16 12:00:00,2.07435061109862e-06,-1.56938458205577e-06,3.99190613083996e-06,-1.30465235422295e-06,-3.75727657090267e-06,3.25547074843785e-06,-1.30203461093758e-07,-1.08153754208166e-06,3.30166123256678e-06,-2.69156199910137e-06,8.91501461420706e-07,7.51740886845496e-07,4.05306430708574e-06,3.24577742276635e-06
"2001","02",2001-02-15 00:00:00,9.45079213611513e-07,-6.52396344157245e-07,-1.31318937648498e-06,1.23940913421272e-06,-1.09991751439646e-05,8.70632401947547e-07,1.18216399009529e-06,2.56909132055359e-06,-2.39641910496594e-07,-2.91172945099805e-06,8.10029133453171e-07,-1.15152968319613e-06,1.63369186783058e-06,1.43098976834104e-06
"2001","03",2001-03-16 12:00:00,-7.43083133514233e-07,-2.93156816884477e-06,-1.45850515955524e-06,8.37527588911276e-07,-4.38717737441977e-06,-1.13320516501893e-06,9.19902024820181e-07,1.41731378944791e-06,3.93852552612636e-07,-1.33326242104765e-06,1.01847663232361e-06,-3.03955492983626e-07,7.93278248584217e-07,-1.30516354518098e-07
"2001","04",2001-04-16 00:00:00,-4.99272273657425e-07,6.14998299061417e-07,-1.15665957613876e-06,-4.47375840262332e-07,-1.05648187904706e-05,7.18120479076336e-07,2.38499580297985e-06,4.16924948409013e-07,9.70439713400122e-07,-1.05398753630428e-06,-1.53148666107846e-06,9.52964362149001e-07,4.93082312548623e-07,1.68544633465269e-07
"2001","05",2001-05-16 12:00:00,-1.06397852654538e-05,2.40844425853107e-06,3.16879924288184e-06,-1.24779208628045e-06,6.8648652443464e-06,-1.25060083353584e-06,-1.39491722754244e-06,-1.00841981415451e-06,-1.7841242545119e-06,2.78219876898228e-06,-4.99103541922924e-06,6.16598604966752e-06,2.71668237825651e-06,2.6790682963478e-07
"2001","06",2001-06-16 00:00:00,-4.11141142127492e-06,1.11574262967445e-06,2.86016544112838e-06,-2.23362422246964e-06,1.2727855015271e-05,-2.61614417942478e-06,3.57528462144627e-08,2.52763416948076e-06,-1.77283035531882e-06,9.48707345308456e-06,-4.63878470573671e-07,-7.09637001496105e-07,-2.99446388538627e-06,-3.55898309312574e-06
"2001","07",2001-07-16 12:00:00,3.00840917632465e-06,-5.43379173152332e-07,1.00124164997727e-05,7.07595006884295e-06,1.12810937737102e-05,3.20065837208269e-07,3.18394075715793e-06,8.70392089990657e-07,1.47407489833644e-06,4.63243910900597e-06,3.55461627896738e-06,-3.58447473978613e-06,8.99456635439222e-07,1.44852045614658e-06
"2001","08",2001-08-16 12:00:00,8.33691781893392e-06,2.86766595779472e-06,3.4192004563429e-06,5.6259424917234e-06,1.37216457432032e-05,5.74819170667749e-06,7.15664591358181e-06,7.84525148862294e-06,8.01137448809467e-06,9.82485687262414e-06,4.25679220998927e-06,1.22909914213454e-06,-2.5628755464524e-07,5.45572969067593e-06
