"Year","Month","UPW"
1988,2,33.1723843328212
1988,3,183.022765347747
1988,4,116.818961428121
1988,5,726.150398388246
1988,6,537.360568362969
1988,7,511.805770829681
1988,8,434.045488958279
1988,9,328.813011314161
1988,10,210.041441692745
1988,11,-27.7823971699562
1988,12,-108.350639030366
1989,1,-102.722118694924
1989,2,-15.280217169282
1989,3,62.0155501227881
1989,4,252.000235525021
1989,5,857.824364806128
1989,6,633.260918545332
1989,7,662.525519762349
1989,8,630.958850768174
1989,9,392.317342245742
1989,10,189.874242417685
1989,11,313.166633253268
1989,12,-165.165311022392
1990,1,-103.125979980264
1990,2,25.7149289807493
1990,3,138.547516449907
1990,4,269.409943982137
1990,5,534.294054711913
1990,6,757.575711041923
1990,7,673.983647766028
1990,8,736.053886941885
1990,9,447.903982413332
1990,10,156.565201923977
1990,11,-14.5586103386912
1990,12,-177.485770884567
1991,1,-66.2097358538486
1991,2,-10.8479453140359
1991,3,141.365233703574
1991,4,304.849446044907
1991,5,398.494223932105
1991,6,668.875721617687
1991,7,665.009742506655
1991,8,536.113666576963
1991,9,429.730040209763
1991,10,193.431408223618
1991,11,-81.0557769479088
1991,12,-217.883584695595
1992,1,-309.94620496315
1992,2,75.0392750527384
1992,3,119.048692157226
1992,4,352.434279339544
1992,5,552.016602595773
1992,6,749.001198807035
1992,7,718.646351552239
1992,8,733.84547641759
1992,9,503.123340883808
1992,10,161.003401626143
1992,11,-72.5995090905756
1992,12,-345.84870013847
1993,1,-173.591618536315
1993,2,-24.9665901577135
1993,3,181.559813323304
1993,4,255.358899605359
1993,5,734.146790556526
1993,6,628.132478736558
1993,7,828.222754467654
1993,8,672.439917519636
1993,9,422.056779378918
1993,10,115.350880721814
1993,11,-212.267328940775
1993,12,-225.657344299762
1994,1,-204.470787989786
1994,2,-13.9591189195074
1994,3,145.367877285896
1994,4,331.701766363653
1994,5,915.718488038228
1994,6,653.83034282344
1994,7,549.069913437123
1994,8,592.688529986951
1994,9,504.408298404747
1994,10,81.1037519512588
1994,11,-239.264322079497
1994,12,-290.032111960664
1995,1,-219.646096174901
1995,2,-52.5342464681326
1995,3,132.491080701865
1995,4,295.61898833719
1995,5,628.268343817562
1995,6,796.164776553693
1995,7,573.548260256312
1995,8,670.117984064591
1995,9,766.923277034501
1995,10,163.537221556128
1995,11,31.0123481466106
1995,12,-238.196405449143
1996,1,-161.176085216593
1996,2,-123.268408979589
1996,3,125.192491925221
1996,4,458.627024133443
1996,5,1210.38266209289
1996,6,597.134830243741
1996,7,717.273751007971
1996,8,681.017969816503
1996,9,489.801277133487
