"Year","Month","EMTperp","We"
1984,6,-755.365910513588,3.35729628668
1984,7,-1084.41104969999,7.39069157216294
1984,8,-1047.00783494303,4.32178957540284
1984,9,-658.441626503193,6.11014062432659
1984,10,-204.085266012635,5.56085807100622
1984,11,-89.8796539685152,-1.52959176309086
1984,12,-104.632868138765,-2.3082151800026
1985,1,-117.421577022585,-15.5868712157612
1985,2,-216.538893995347,-2.28508394015986
1985,3,-150.00122006929,-1.92574314229872
1985,4,-398.863846775038,0.818490773661222
1985,5,-495.184237430243,3.83453438333771
1985,6,-942.230623384831,7.75133808797664
1985,7,-986.212026945449,2.34430815398413
1985,8,-1130.06276784848,3.5353594464411
1985,9,-506.063188354857,6.575257225156
1985,10,-228.520949021861,4.87911493894331
1985,11,-82.4955680278194,0.591889425651801
1985,12,-81.9967551837132,-14.1574193589185
1986,1,-128.758876428446,-7.91144433763625
1986,2,-251.050678175205,-7.31601275366615
1986,3,-158.472754004494,-2.78636419809305
1986,4,-219.789345557171,0.683252810799221
1986,5,-576.830946144945,5.18581583186819
1986,6,-566.745106458762,4.37762243009785
1986,7,-1384.80465064921,3.62778224333353
1986,8,-1166.98218405978,3.41223184994644
1986,9,-613.362724578459,11.6572441041713
1986,10,-246.696234357647,4.19643657567619
1986,11,-36.7331700278631,-1.84494097119098
1986,12,-176.439028565525,-22.1271732769613
1987,1,-199.459977546261,-17.5797155820987
1987,2,-181.226645545583,-10.6774946251577
1987,3,-274.259443889435,-2.96878676094593
1987,4,-189.781251219191,-0.535766717271562
1987,5,-201.622059627056,0.335107049475108
1987,6,-808.087232564679,8.28854032153549
1987,7,-850.59002061943,1.08545197600401
1987,8,-788.322632406832,3.31172070739115
1987,9,-540.39191658723,6.47080658768661
1987,10,19.4143113278768,1.87777169721454
1987,11,-82.1981901539662,1.3277687891062
1987,12,-12.8281668066465,-2.18673317481161
1988,1,-127.835121838535,-21.6510376360164
1988,2,-169.178065471523,-5.30745672230649
1988,3,-405.540725953263,-0.545163448980385
1988,4,-116.852381076876,-0.202954891163665
1988,5,-672.172705856956,10.3779192683943
1988,6,-353.279022283424,8.07304729302398
