"Year","Month","Dates","SSH.1","SSH.2","SSH.3","SSH.4","SSH.5","SSH.6","SSH.7","SSH.8","SSH.9","SSH.10","SSH.11","SSH.12","SSH.13","SSH.14"
"1995","05",1995-05-16 12:00:00,1.94653321266174,1.96372599601746,1.92707809380123,1.95323679447174,1.95131130322166,1.9672848033905,1.98736960411072,1.99444039344788,2.00501721382141,1.96411639213562,2.00813039302826,2.00129479885101,2.03215079307556,1.94205000228489
"1995","06",1995-06-16 00:00:00,1.89321319580078,1.90094932715098,1.8827961967105,1.87243759155273,1.87039696133655,1.90691801071167,1.91890160083771,1.9074728012085,1.86690640449524,1.8680212020874,1.89852000236511,1.86120319843292,1.89965518951416,1.90689576655319
"1995","07",1995-07-16 12:00:00,1.88804999828339,1.85764865875244,1.86789571671259,1.87541520118713,1.88069696011751,1.88057680130005,1.85910919189453,1.87800879478455,1.86237000465393,1.86921920776367,1.85951361179352,1.83147479534149,1.82531520366669,1.89421557028269
"1995","08",1995-08-16 12:00:00,1.82883840084076,1.82965265909831,1.85047333581107,1.85109960079193,1.83231695320295,1.8664899969101,1.85717841625214,1.86616321086884,1.86898760318756,1.84984399795532,1.88282999515533,1.85627880096436,1.87455798625946,1.85628690301758
"1995","09",1995-09-16 00:00:00,1.86180519580841,1.8547333240509,1.90529047875177,1.91168280124664,1.91266695831133,1.84197200775146,1.85115400314331,1.87189360618591,1.86954838752747,1.89304320335388,1.85532080173492,1.83813398838043,1.838297996521,1.86638959412722
"1995","10",1995-10-16 12:00:00,1.84806080341339,1.86033731301626,1.88000095458258,1.87616960048676,1.86670303344727,1.83867479801178,1.85340759754181,1.87558841228485,1.88857120513916,1.86475518703461,1.87684200286865,1.86880240917206,1.87264120578766,1.8398104107257
"1995","11",1995-11-16 00:00:00,1.97087919712067,1.95961864789327,1.92988952000936,1.95250440597534,1.99340478233669,1.91872999668121,1.93774600505829,1.95628759384155,1.97379639625549,1.98410959243774,1.98988838195801,1.96015839576721,1.94198560237885,1.9366747411256
"1995","12",1995-12-16 12:00:00,2.06826117515564,2.0750553448995,2.07647668747675,2.06808040618896,2.05782652937848,2.01836440563202,2.04132440567017,2.08693361282349,2.132548828125,2.09623481750488,2.16635761260986,2.17305560112,2.19947521209717,2.04929392239482
"1996","01",1996-01-16 12:00:00,2.07922600746155,2.11163733800252,2.10318999063401,2.07933557510376,2.07876953871354,2.03111401557922,2.09866119384766,2.13379521369934,2.09624320030212,2.11418239593506,2.1291132068634,2.13574077606201,2.15025201797485,2.08736794019483
"1996","02",1996-02-15 12:00:00,2.04534839630127,2.0738720258077,2.0548171429407,2.05940838813782,2.05406520677649,2.01316040992737,2.08370841026306,2.11142040252686,2.10147841453552,2.05626718521118,2.14486041069031,2.09141640663147,2.14095120429993,2.05875690696166
